name,credits,category
Computational Thinking,4,Foundation
English I,4,Foundation
Mathematics for Data Science I,4,Foundation
Statistics for Data Science I,4,Foundation
Programming in Python,4,Foundation
English II,4,Foundation
Mathematics for Data Science II,4,Foundation
Statistics for Data Science II,4,Foundation
Database Management Systems,4,Diploma in Prog
Modern Application Development  - I,4,Diploma in Prog
Modern Application Development  - II,4,Diploma in Prog
System Commands,3,Diploma in Prog
Programming Concepts using Java,4,Diploma in Prog
"Programming, Data Structures and Algorithms",4,Diploma in Prog
Modern Application Development - I [PROJECT],2,Diploma in Prog
Modern Application Development - II [PROJECT],2,Diploma in Prog
Machine Learning Foundations,4,Diploma in Data
Business Data Management,4,Diploma in Data
Machine Learning Techniques,4,Diploma in Data
Machine Learning Practice,4,Diploma in Data
Business Analytics,4,Diploma in Data
Tools in Data Science,3,Diploma in Data
Business Data Management [PROJECT],2,Diploma in Data
Machine Learning Practice [PROJECT],2,Diploma in Data
